show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
tm15621,Movie,Brief Encounter,,,GB,,1945,,86 min,"drama, romance","Returning home from a shopping trip to a nearby town, bored suburban housewife Laura Jesson is thrown by happenstance into an acquaintance with virtuous doctor Alec Harvey. Their casual friendship soon develops during their weekly visits into something more emotionally fulfilling than either expected, and they must wrestle with the potential havoc their deepening relationship would have on their lives and the lives of those they love."
tm2234,Movie,42nd Street,,,US,,1933,,89 min,"comedy, romance, drama","A producer puts on what may be his last Broadway show, and at the last moment a chorus girl has to replace the star."
tm72662,Movie,"Now, Voyager",,,US,,1942,,117 min,"drama, romance",A woman suffers a nervous breakdown and an oppressive mother before being freed by the love of a man she meets on a cruise.
tm45031,Movie,The Public Enemy,,,US,,1931,,84 min,"crime, drama","Two young Chicago hoodlums, Tom Powers and Matt Doyle, rise up from their poverty-stricken slum life to become petty thieves, bootleggers and cold-blooded killers. But with street notoriety and newfound wealth, the duo feels the heat from the cops and rival gangsters both. Despite his ruthless criminal reputation, Tom tries to remain connected to his family, however, gang warfare and the need for revenge eventually pull him away."
tm2838,Movie,The Most Dangerous Game,,,US,,1932,,63 min,"thriller, horror, action","When legendary hunter Bob Rainsford is shipwrecked on the perilous reefs surrounding a mysterious island, he finds himself the guest of the reclusive and eccentric Count Zaroff. While he is very gracious at first, Zaroff eventually forces Rainsford and two other shipwreck survivors, brother and sister Eve and Martin Towbridge, to participate in a sadistic game of cat and mouse in which they are the prey and he is the hunter."
tm3805,Movie,Vampyr,,,"FR, DE",,1932,,74 min,"horror, fantasy, european","Traveler Allan Gray arrives in the village of Courtempierre and takes lodgings in a small inn. Gray has a great interest in the supernatural, particularly vampires. He's barely settled in when he feels a sinister force descending upon him. In the night an old man enters his room to tell him 'she must not die'. One of the old man's daughters, Leone, has been bitten by a vampire. In order to break the curse, Gray and Leone's sister Gisele must find the original vampire and drive a stake through her heart."
tm61524,Movie,Late Spring,,,JP,,1949,,110 min,drama,"Noriko is perfectly happy living at home with her widowed father, Shukichi, and has no plans to marry -- that is, until her aunt Masa convinces Shukichi that unless he marries off his 27-year-old daughter soon, she will likely remain alone for the rest of her life. When Noriko resists Masa's matchmaking, Shukichi is forced to deceive his daughter and sacrifice his own happiness to do what he believes is right."
tm61720,Movie,Adam's Rib,,,US,,1949,,100 min,"romance, drama, comedy","When a woman attempts to kill her uncaring husband, prosecutor Adam Bonner gets the case. Unfortunately for him his wife Amanda (who happens to be a lawyer too) decides to defend the woman in court. Amanda uses everything she can to win the case and Adam gets mad about it. As a result, their perfect marriage is disturbed by everyday quarrels."
tm100058,Movie,The Man Who Knew Too Much,,,GB,,1934,,76 min,"drama, thriller, crime","While vacationing in St. Moritz, a British couple receive a clue to an imminent assassination attempt, only to learn that their young daughter has been kidnapped to keep them quiet."
tm4032,Movie,Hamlet,,,GB,,1948,,155 min,drama,"Winner of four Academy Awards, including Best Picture and Best Actor, Sir Laurence Olivier’s Hamlet continues to be the most compelling version of Shakespeare’s beloved tragedy. Olivier is at his most inspired—both as director and as the melancholy Dane himself—as he breathes new life into the words of one of the world’s greatest dramatists."
tm20341,Movie,"Rome, Open City",,,IT,,1945,,103 min,"drama, european, war, thriller",A realistic portrayal of the underground resistance in Italy in 1945. The film has strong impacting imagery with its mix of fiction and reality that strengthened Italian Neo-realism and the film industry.
tm72126,Movie,The Letter,,,US,,1940,,95 min,"drama, romance, crime","After a woman shoots a man to death, a damning letter she wrote raises suspicions."
tm163314,Movie,Mutiny on the Bounty,,,US,,1935,,132 min,"drama, history, romance","Fletcher Christian successfully leads a revolt against the ruthless Captain Bligh on the HMS Bounty. However, Bligh returns one year later, hell bent on avenging his captors."
tm82052,Movie,Sergeant York,,,US,,1941,,134 min,"romance, drama, history, war",Alvin York a hillbilly sharpshooter transforms himself from ruffian to religious pacifist. He is then called to serve his country and despite deep religious and moral objections to fighting becomes one of the most celebrated American heroes of WWI.
tm7281,Movie,Safety Last!,,,US,,1923,,74 min,"action, romance, comedy, thriller","When a store clerk organizes a contest to climb the outside of a tall building, circumstances force him to make the perilous climb himself."
tm145237,Movie,Battleship Potemkin,,,SU,,1925,,75 min,"drama, history, thriller, war","A dramatized account of a great Russian naval mutiny and a resultant public demonstration, showing support, which brought on a police massacre. The film had an incredible impact on the development of cinema and is a masterful example of montage editing."
tm96925,Movie,The Gay Divorcee,,,US,,1934,,107 min,"comedy, romance","Seeking a divorce from her absentee husband, Mimi Glossop travels to an English seaside resort. There she falls in love with dancer Guy Holden, whom she later mistakes for the corespondent her lawyer hired."
tm62467,Movie,Sabotage,,,GB,,1937,,77 min,"drama, thriller, crime",Karl Anton Verloc and his wife own a small cinema in a quiet London suburb where they live seemingly happily. But Mrs. Verloc does not know that her husband has a secret that will affect their relationship and threaten her teenage brother's life.
tm146745,Movie,The Gold Rush,,,US,,1925,,89 min,"comedy, drama, western, family","A lone prospector ventures into Alaska looking for gold. He soon gets mixed up with some burly characters, falls in love with the beautiful Georgia, and tries to win her heart with his singular charm."
tm122846,Movie,The Kid,,,US,,1921,,53 min,"drama, comedy, family",A tramp cares for a boy after he's abandoned as a newborn by his mother. Later the mother has a change of heart and aches to be reunited with her son.
tm86380,Movie,Beauty and the Beast,,,FR,,1946,,96 min,"fantasy, european, romance, drama","The story of a gentle-hearted beast in love with a simple and beautiful girl. She is drawn to the repellent but strangely fascinating Beast, who tests her fidelity by giving her a key, telling her that if she doesn't return it to him by a specific time, he will die of grief. She is unable to return the key on time, but it is revealed that the Beast is the genuinely handsome one. A simple tale of tragic love that turns into a surreal vision of death, desire, and beauty."
tm73245,Movie,Foreign Correspondent,,,US,,1940,,120 min,"action, thriller, war, romance","The European war was only beginning to erupt across national borders. Johnny Jones, an American crime reporter dispatched by his New York publisher to put a fresh spin on the drowsy dispatches emanating from overseas, has a nose for a good story—which promptly leads him to the crime of fascism and Nazi Germany's designs on European conquest. In attempting to learn more about a seemingly noble peace effort, Jones walks into the middle of an assassination, uncovers a spy ring and—not entirely coincidentally—falls in love."
tm18203,Movie,The Lodger: A Story of the London Fog,,,GB,,1927,,91 min,"drama, thriller, crime","London. A mysterious serial killer brutally murders young blond women by stalking them in the night fog. One foggy, sinister night, a young man who claims his name is Jonathan Drew arrives at the guest house run by the Bunting family and rents a room."
tm127045,Movie,A Trip to the Moon,,,FR,,1902,,15 min,"scifi, fantasy, european","Professor Barbenfouillis and five of his colleagues from the Academy of Astronomy travel to the Moon aboard a rocket propelled by a giant cannon. Once on the lunar surface, the bold explorers face the many perils hidden in the caves of the mysterious planet."
tm80361,Movie,The Thief of Bagdad,,,GB,,1940,,106 min,"fantasy, family, romance","When Prince Ahmad is blinded and cast out of Bagdad by the nefarious Jaffar, he joins forces with the scrappy thief Abu to win back his royal place, as well as the heart of a beautiful princess."
tm71078,Movie,Captains Courageous,,,US,,1937,G,115 min,"drama, family","Harvey, the arrogant and spoiled son of an indulgent absentee-father, falls overboard from a transatlantic steamship and is rescued by a fishing vessel on the Grand Banks. Harvey fails to persuade them to take him ashore, nor convince the crew of his wealth. The captain offers him a low-paid job, until they return to port, as part of the crew that turns him into a mature, considerate young man."
tm137144,Movie,The Testament of Dr. Mabuse,,,DE,,1933,,122 min,"crime, thriller, european, horror","After a detective is assaulted by thugs and placed in an asylum run by Professor Baum, he observes the professor's preoccupation with another patient, the criminal genius Dr. Mabuse the hypnotist. When Mabuse's notes are found to be connected with a rash of recent crimes, Commissioner Lohmann must determine how Mabuse is communicating with the criminals, despite conflicting reports on the doctor's whereabouts, and capture him for good."
tm6099,Movie,Jezebel,,,US,,1938,,103 min,"drama, romance","In 1850s Louisiana, the willfulness of a tempestuous Southern belle threatens to destroy all who care for her."
tm94100,Movie,Odd Man Out,,,GB,,1947,,116 min,"drama, thriller, crime",Belfast police conduct a door-to-door manhunt for an IRA gunman wounded in a daring robbery.
tm5851,Movie,Oliver Twist,,,GB,,1948,,116 min,drama,"When 9-year-old orphan Oliver Twist dares to ask his cruel taskmaster, Mr. Bumble, for a second serving of gruel, he's hired out as an apprentice. Escaping that dismal fate, young Oliver falls in with the street urchin known as the Artful Dodger and his criminal mentor, Fagin. When kindly Mr. Brownlow takes Oliver in, Fagin's evil henchman Bill Sikes plots to kidnap the boy."
tm7868,Movie,The Naked City,,,US,,1948,,96 min,"crime, thriller, drama","The Naked City portrays the police investigation that follows the murder of a young model. A veteran cop is placed in charge of the case and he sets about, with the help of other beat cops and detectives, finding the girl's killer."
tm74188,Movie,Jungle Book,,,US,,1942,,106 min,"fantasy, family, action","Rudyard Kipling's Jungle Book is given the full treatment in this lavish retelling filled with huge sets, exotic animals, a large cast and the incomparable Sabu, starring as Mowgli, the young orphan boy raised by wolves. Curious to reconnect with his human village, Mowgli returns only to find disappointment in the greed and treachery of man. Over time, Mowgli and the village members do grow to trust one another, but not before the village finds itself under siege. It's up to Mowgli and his jungle friends to save the day."
tm4311,Movie,Henry V,,,GB,,1944,,137 min,"drama, history, war","In the midst of the Hundred Years' War, the young King Henry V of England embarks on the conquest of France in 1415."
tm116613,Movie,Libeled Lady,,,US,,1936,,98 min,"comedy, romance","When a major newspaper accuses wealthy socialite Connie Allenbury of being a home-wrecker, and she files a multi-million-dollar libel lawsuit, the publication's frazzled head editor, Warren Haggerty, must find a way to turn the tables on her. Soon Haggerty's harried fiancée, Gladys Benton, and his dashing friend Bill Chandler are in on a scheme that aims to discredit Connie, with amusing and unexpected results."
tm113696,Movie,Show Boat,,,US,,1936,,113 min,"comedy, drama, music, romance","Despite her mother's objections, the naive young daughter of a show boat captain is thrust into the limelight as the company's new leading lady."
tm16783,Movie,Blithe Spirit,,,GB,,1945,,96 min,"comedy, fantasy","An English mystery novelist invites a medium to his home, so she may conduct a séance for a small gathering. The writer hopes to gather enough material for the book he's working on, as well as to expose the medium as a charlatan. However, proceedings take an unexpected turn, resulting in a chain of supernatural events being set into motion that wreak havoc on the man's present marriage."
tm5310,Movie,National Velvet,,,US,,1945,G,123 min,"drama, family, sport","Mi Taylor is a young wanderer and opportunist who finds himself in the quiet English countryside home of the Brown family. The youngest daughter, Velvet, has a passion for horses and when she wins the spirited steed Pie in a town lottery, Mi is encouraged to train the horse."
tm6558,Movie,Pygmalion,,,GB,,1939,,96 min,"comedy, drama, romance","When linguistics professor Henry Higgins boasts that he can pass off Cockney flower girl Eliza Doolittle as a princess with only six months' training, Colonel George Pickering takes him up on the bet. Eliza moves into Higgins's home and begins her rigorous training after the professor comes to a financial agreement with her dustman father, Alfred. But the plucky young woman is not the only one undergoing a transformation."
tm71624,Movie,In Which We Serve,,,GB,,1942,,115 min,"drama, war","The story of the HMS Torrin, from it's construction to its sinking in the Mediterranean during action in World War II. The ship's first and only commanding officer is Captain E.V. Kinross, who trains his men not only to be loyal to him and the country, but—most importantly—to themselves."
tm67670,Movie,Shall We Dance,,,US,,1937,,109 min,"comedy, music, romance","Ballet star Petrov arranges to cross the Atlantic aboard the same ship as the dancer and musical star he's fallen for but barely knows. By the time the ocean liner reaches New York, a little white lie has churned through the rumour mill and turned into a hot gossip item—that the two celebrities are secretly married."
tm64788,Movie,Take Me Out to the Ball Game,,,US,,1949,,93 min,"romance, sport, comedy","The Wolves baseball team gets steamed when they find they've been inherited by one K.C. Higgins, a suspected ""fathead"" who intends to take an active interest in running the team. But K.C. turns outs to be a beautiful woman who really knows her baseball. Second baseman Dennis Ryan promptly falls in love. But his playboy roommate Eddie O'Brien has his own notions about how to treat the new lady owner and some unsavory gamblers have their own ideas about how to handle Eddie."
tm83273,Movie,Pride and Prejudice,,,US,,1940,,118 min,"romance, drama","Mr. and Mrs. Bennet have five unmarried daughters, and Mrs. Bennet is especially eager to find suitable husbands for them. When the rich single gentlemen Mr. Bingley and Mr. Darcy come to live nearby, the Bennets have high hopes. But pride, prejudice and misunderstandings all combine to complicate their relationships and to make happiness difficult."
tm89464,Movie,Miracle on 34th Street,,,US,,1947,,96 min,"comedy, drama, family","Kris Kringle, seemingly the embodiment of Santa Claus, is asked to portray the jolly old fellow at Macy's following his performance in the Thanksgiving Day parade. His portrayal is so complete that many begin to question if he truly is Santa Claus, while others question his sanity."
tm66822,Movie,She Wore a Yellow Ribbon,,,US,,1949,,103 min,western,"After Custer and the 7th Cavalry are wiped out by Indians, everyone expects the worst. Capt. Nathan Brittles is ordered out on patrol but he's also required to take along Abby Allshard, wife of the Fort's commanding officer, and her niece, the pretty Olivia Dandridge, who are being evacuated for their own safety. Brittles is only a few days away from retirement and Olivia has caught the eye of two of the young officers in the Company, Lt. Flint Cohill and 2nd Lt. Ross Pennell. She's taken to wearing a yellow ribbon in her hair, a sign that she has a beau in the Cavalry, but refuses to say for whom she is wearing it."
tm52327,Movie,The Front Page,,,US,,1931,,101 min,"comedy, drama, thriller, crime, romance","Hildy Johnson is an investigative reporter is looking for a bigger paycheck. When an accused murderer escapes from custody, Hildy sees an opportunity for the story of a lifetime. But when he finds the criminal, he learns that the man may not be guilty. With the help of his editor, Hildy attempts to hide the convict, uncover the conspiracy and write the scoop of his career."
tm24020,Movie,Downhill,,,GB,,1927,,110 min,"drama, thriller","Roddy, first son of the rich Berwick family, is expelled from school when he takes the blame for his friend Tim's charge. His family sends him away and all of his friends leave him alone. Through many life choices that don't work out in his favor, Roddy begins to find his life slowly spiraling out of his control."
tm63925,Movie,Orpheus,,,FR,,1950,,95 min,"fantasy, drama, romance, european","At the Café des Poètes in Paris, a fight breaks out between the poet Orphée and a group of resentful upstarts. A rival poet, Cègeste, is killed, and a mysterious princess insists on taking Orpheus and the body away in her Rolls-Royce. Orphée soon finds himself in the underworld, where the Princess announces that she is, in fact, Death. Orpheus escapes in the car back to the land of the living, only to become obsessed with the car radio.  This film is the central part of Cocteau's Orphic Trilogy, which consists of The Blood of a Poet (1930), Orpheus (1950) and Testament of Orpheus (1960)."
tm79235,Movie,That Hamilton Woman,,,US,,1941,,128 min,"drama, history, romance, war","The story of courtesan and dance-hall girl Emma Hamilton, including her relationships with Sir William Hamilton and Admiral Horatio Nelson and her rise and fall, set during the Napoleonic Wars."
tm163261,Movie,Of Mice and Men,,,US,,1939,PG,106 min,drama,An intellectually disabled giant and his level headed guardian find work at a sadistic cowboy's ranch in depression era America.
tm1200,Movie,49th Parallel,,,"GB, CA",,1941,,123 min,"thriller, war, drama","In the early days of World War II, a German U-boat is sunk in Canada's Hudson Bay. Hoping to evade capture, a small band of German soldiers led by commanding officer Lieutenant Hirth attempts to cross the border into the United States, which has not yet entered the war and is officially neutral. Along the way, the German soldiers encounter brave men such as a French-Canadian fur trapper, Johnnie, a leader of a Hutterite farming community, Peter, an author, Philip and a soldier, Andy Brock."
tm4765,Movie,The Circus,,,US,,1928,G,72 min,"comedy, family, romance, european","Charlie, a wandering tramp, becomes a circus handyman - soon the star of the show - and falls in love with the circus owner's stepdaughter."
tm141146,Movie,Dragnet Girl,,,JP,,1933,,100 min,"romance, crime, drama",A gangster tries to find redemption with the inadvertent help of an innocent shop girl and his jealous girlfriend will do anything to keep him.
tm138416,Movie,The Private Life of Henry VIII,,,GB,,1933,,90 min,"history, comedy, drama, romance","Renowned for his excess, King Henry VIII goes through a series of wives during his rule. With Anne Boleyn, his second wife, executed on charges of treason, King Henry weds maid Jane Seymour, but that marriage also ends in tragedy. Not one to be single for long, the king picks German-born Anne of Cleves as his bride, but their union lasts only months before an annulment is granted, and King Henry continues his string of spouses."
tm58163,Movie,The Flowers of St. Francis,,,IT,,1950,,87 min,"drama, comedy, european, history","In a series of simple and joyous vignettes, director Roberto Rossellini and co-writer Federico Fellini lovingly convey the universal teachings of the People’s Saint: humility, compassion, faith, and sacrifice. Gorgeously photographed to evoke the medieval paintings of Saint Francis’s time, and cast with monks from the Nocera Inferiore Monastery, The Flowers of St. Francis is a timeless and moving portrait of the search for spiritual enlightenment."
tm98488,Movie,The Scarlet Pimpernel,,,GB,,1934,,97 min,drama,"18th century English aristocrat Sir Percy Blakeney leads a double life. He appears to be merely the effete aristocrat, but in reality is part of an underground effort to free French nobles from Robespierre's Reign of Terror."
tm95846,Movie,Brute Force,,,US,,1947,,98 min,"thriller, crime, drama","Timeworn Joe Collins and his fellow inmates live under the heavy thumb of the sadistic, power-tripping guard Captain Munsey. Only Collins' dreams of escape keep him going, but how can he possibly bust out of Munsey's chains?"
tm62407,Movie,Pépé le Moko,,,FR,,1937,,94 min,"crime, romance, drama, european","Pépé le Moko, one of France's most wanted criminals, hides out in the Casbah section of Algiers. He knows police will be waiting for him if he tries to leave the city. When Pépé meets Gaby, a gorgeous woman from Paris who is lost in the Casbah, he falls for her."
tm85292,Movie,Nanook of the North,,,"FR, US",,1922,,79 min,"action, documentation","This pioneering documentary film depicts the lives of the indigenous Inuit people of Canada's northern Quebec region. Although the production contains some fictional elements, it vividly shows how its resourceful subjects survive in such a harsh climate, revealing how they construct their igloo homes and find food by hunting and fishing. The film also captures the beautiful, if unforgiving, frozen landscape of the Great White North, far removed from conventional civilization."
tm88214,Movie,Paisan,,,IT,,1946,,125 min,"drama, european, war","Six vignettes follow the Allied invasion from July 1943 to winter 1944, from Sicily north to Venice."
tm129566,Movie,So This Is Paris,,,US,,1926,,70 min,comedy,"Paul and Suzanne Giraud are happily married and living in a quiet neighborhood. When Suzanne notices that their new neighbors are expressive dancers in revealing outfits, she demands Paul speak to them about their lack of morality. Paul discovers that the woman is Georgette Lalle, an old flame."
tm6813,Movie,Pandora's Box,,,DE,,1929,PG-13,109 min,"romance, crime, european, drama","Lulu is a young woman so beautiful and alluring that few can resist her siren charms. The men drawn into her web include respectable newspaper publisher Dr. Ludwig Schön, his musical producer son Alwa, circus performer Rodrigo Quast and Lulu's seedy old friend, Schigolch. When Lulu's charms inevitably lead to tragedy, the downward spiral encompasses them all."
tm88805,Movie,Monsieur Verdoux,,,US,,1947,,124 min,"comedy, crime, drama","The film is about an unemployed banker, Henri Verdoux, and his sociopathic methods of attaining income. While being both loyal and competent in his work, Verdoux has been laid-off. To make money for his wife and child, he marries wealthy widows and then murders them. His crime spree eventually works against him when two particular widows break his normal routine."
tm76145,Movie,The Long Voyage Home,,,US,,1940,,105 min,"drama, war",The crew of the merchant ship Glencairn hope to survive a transatlantic crossing during World War II. Adapted from four Eugene O'Neill one-act plays.
tm146874,Movie,The Freshman,,,US,,1925,,76 min,"romance, comedy, family, sport","Harold Lamb is so excited about going to college that he has been working to earn spending money, practicing college yells, and learning a special way of introducing himself that he saw in a movie. When he arrives at Tate University, he soon becomes the target of practical jokes and ridicule. With the help of his one real friend Peggy, he resolves to make every possible effort to become popular."
tm2941,Movie,"Ivan the Terrible, Part I",,,SU,,1944,,99 min,"drama, history","Sergei Eisenstein's final film, this is the first part of a three-part biopic of Czar Ivan Grozny, which was never completed due again to producer dissatisfaction with Eisenstein's attempts to use forbidden experimental filming techniques and excessive cost overruns.  The second part was completed but not released for a decade after Eisenstein's death and a change of heart in the USSR government toward his work; the third part was only in its earliest stage of filming when shooting was stopped altogether.  In this first part, set during the early part of his reign, Ivan faces betrayal from the aristocracy and even his closest friends as he seeks to unite the Russian people."
tm50802,Movie,Young Man with a Horn,,,US,,1950,,113 min,"music, romance, drama","Legendary trumpeter Art Hazzard teaches young Rick Martin everything he knows about playing, so Rick becomes a star musician, but a troubled marriage and the desire to play pure jazz instead of commercial swing songs cause him problems."
tm71654,Movie,I Married a Witch,,,US,,1942,,74 min,"romance, fantasy, comedy","Rocksford, New England, 1672. Puritan witch hunter Jonathan Wooley is cursed after burning a witch at the stake: his descendants will never find happiness in their marriages. At present, politician Wallace Wooley, who is running for state governor, is about to marry his sponsor's daughter."
tm65496,Movie,Stromboli,,,"IT, US",,1950,,105 min,"drama, european","After the end of World War II Karen, a young displaced woman from Lithuania, marries Italian fisherman Antonio to get away from her internment camp. But the life on Antonio's island, Stromboli, threatened by its volcano, is a tough one and Karen cannot get used to it."
tm15921,Movie,Without Love,,,US,,1945,,111 min,"romance, comedy, european","In World War II Washington DC, scientist Pat Jamieson's assistant, Jamie Rowan, enters a loveless marriage with him. Struggles bring them closer together."
